dpt,url
MGA,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGA
RLL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=RLL
END,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=END
GLY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GLY
SPA,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=SPA
CPM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CPM
ESL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ESL
GER,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GER
AED,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=AED
UBE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=UBE
EE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=EE
RUS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=RUS
ECO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ECO
MGF,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGF
BMS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BMS
STA,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=STA
GSE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GSE
MTH,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MTH
SW,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=SW
ENG,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ENG
ARI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ARI
STB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=STB
MCH,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MCH
NTR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NTR
BMI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BMI
ENS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ENS
MIC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MIC
MT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MT
MGI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGI
MDI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MDI
PGY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PGY
PHI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PHI
PUB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PUB
MGB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGB
DMS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=DMS
HIN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=HIN
NBS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NBS
PDO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PDO
PHM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PHM
PHY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PHY
NEU,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NEU
REC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=REC
POL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=POL
NSG,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NSG
MGG,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGG
UE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=UE
JPN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=JPN
HEB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=HEB
AS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=AS
CDA,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CDA
EVS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=EVS
ASL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ASL
SSC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=SSC
KOR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=KOR
DAC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=DAC
BCH,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BCH
PER,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PER
JDS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=JDS
BPH,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BPH
GEO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GEO
MGS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGS
PAS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PAS
ITA,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ITA
ELP,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ELP
ARC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ARC
EEH,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=EEH
HON,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=HON
ES,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ES
CDS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CDS
LAW,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LAW
APY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=APY
CL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CL
LAI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LAI
MGQ,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGQ
AAS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=AAS
RSC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=RSC
CHB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CHB
PHC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PHC
MGE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGE
CE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CE
ORB,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ORB
PSY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PSY
MUS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MUS
GGS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GGS
CEP,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CEP
CHI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CHI
NBC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NBC
BIO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BIO
MGT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGT
COL,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=COL
NMD,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NMD
GR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GR
MGM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGM
UBC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=UBC
MGO,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MGO
MAE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MAE
SOC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=SOC
MTR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MTR
IE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=IE
CSE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CSE
CIE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CIE
EAS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=EAS
FR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=FR
BE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=BE
OT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=OT
LIS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LIS
ART,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ART
LIN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LIN
GRE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=GRE
LAT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=LAT
MLS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=MLS
AHI,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=AHI
PT,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PT
CHE,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=CHE
ULC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=ULC
OPR,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=OPR
PMY,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PMY
PSC,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=PSC
COM,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=COM
HMN,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=HMN
NRS,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=NRS
RSP,http://www.buffalo.edu/class-schedule?switch=showcourses&amp;semester=spring&amp;division=UGRD&amp;dept=RSP
